Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_266.jpg,0,0,0,0,99.67001,85.58897,0.0002445487,11.70601,-5.41808E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_313.jpg,0,0,0,0,99.67001,85.58897,0.0002454824,11.70601,-7.410266E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_363.jpg,0,0,0,0,99.67001,85.58897,0.0002466914,11.70601,-1.041683E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_403.jpg,0,0,0,0,99.67001,85.58897,0.0002472728,11.70601,-1.214532E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_451.jpg,0,0,0,0,99.67001,85.58897,0.0002477349,11.70601,-1.355814E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_495.jpg,0,0,0,0,99.67001,85.58897,0.0002482123,11.70601,-1.482083E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_545.jpg,0,0,0,0,99.67001,85.58897,0.0002486589,11.70601,-1.63838E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_591.jpg,0,0,0,0,99.67001,85.58897,0.0002485974,11.70601,-1.698436E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_633.jpg,0,0,0,0,99.67001,85.58897,0.0002483491,11.70601,-1.718649E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_680.jpg,0,0,0,0,99.67001,85.58897,0.000247427,11.70601,-1.656096E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_726.jpg,0,0,0,0,99.67001,85.58897,0.0002471883,11.70601,-1.592961E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_773.jpg,0,0,0,0,99.67001,85.58897,0.0002468148,11.70601,-1.513274E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_821.jpg,0,0,0,0,99.67001,85.58897,0.0002464106,11.70601,-1.463614E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_865.jpg,0,0,0,0,99.67001,85.58897,0.0002461045,11.70601,-1.392204E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_911.jpg,0,0.1346806,0,0,99.66955,85.58887,359.9897,11.70616,-1.346027E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_959.jpg,0,0.2752561,0,0,99.67124,85.58923,0.02868838,11.72869,5.927724E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_005.jpg,0,0.4165769,0,0.02411747,99.67302,85.5896,0.0678446,11.7575,-1.719221E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_053.jpg,2.094912,0.5562377,0,0.03585475,99.67585,85.59023,0.1274873,11.83381,0.0006768706
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_099.jpg,4.157379,0.6937355,0,0.05640877,99.68221,85.5918,0.2571479,11.83199,0.005625197
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_148.jpg,6.286409,0.8356709,0,0.07962377,99.68807,85.59338,0.3725691,11.96429,0.01222411
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_196.jpg,8.519507,0.9845442,0,0.1062727,99.6954,85.59525,0.5014058,12.08436,0.006392582
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_238.jpg,10.66266,1,0,0.1366041,99.70422,85.59782,0.6479389,12.07138,0.001878395
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_284.jpg,8.774136,1,0,0.1795628,99.71993,85.60252,0.8825331,12.24375,-0.000914073
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_332.jpg,6.681245,1,0,0.2192671,99.73266,85.60616,1.058666,12.39207,-0.0009961504
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_383.jpg,4.520636,1,0,0.263557,99.75311,85.61166,1.28712,12.45432,0.0008944468
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_429.jpg,2.24501,1,0,0.3073185,99.76665,85.61496,1.332749,12.59187,0.0004967105
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_473.jpg,0.1586035,1,0,0.3304581,99.77923,85.61777,1.239926,12.60971,0.002454107
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_519.jpg,0,1,0,0.3726727,99.80293,85.6231,1.150427,12.59402,0.0003386428
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_564.jpg,0,1,0,0.4468152,99.82067,85.62713,1.122383,12.6059,7.498638E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_610.jpg,0,1,0,0.4788737,99.84034,85.63162,1.125988,12.6653,-0.0003392805
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_658.jpg,0,1,0,0.5086386,99.86092,85.63633,1.136177,12.7109,-0.0001325744
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_705.jpg,0,1,0,0.521672,99.89449,85.64398,1.180046,12.75134,0.0001230762
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_751.jpg,0,1,0,0.5689823,99.9183,85.64946,1.205067,12.78002,0.0003973594
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_801.jpg,0,1,0,0.6060318,99.95663,85.65836,1.237053,12.90298,0.0008418568
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_843.jpg,0,1,0,0.6672042,99.98331,85.66454,1.23783,12.90893,0.001038644
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_889.jpg,0,1,0,0.6967186,100.0111,85.67101,1.227214,12.91755,0.001683868
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_937.jpg,0,1,0,0.7268195,100.0403,85.67779,1.213536,12.94755,0.0009268192
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_36_987.jpg,0,1,0,0.768903,100.0865,85.68853,1.196533,12.91959,0.001225966
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_032.jpg,0,1,0,0.8141426,100.1193,85.69614,1.199612,12.92908,0.0006160259
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_074.jpg,2.062968,1,0,0.8481427,100.1534,85.70446,1.206525,13.04573,-3.335793E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_120.jpg,3.943027,1,0,0.8823914,100.207,85.71846,1.219545,13.28851,-0.0006992389
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_173.jpg,6.011979,1,0,0.9377719,100.244,85.72878,1.219928,13.54031,-0.001265953
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_215.jpg,8.377126,1,0,0.9694545,100.2818,85.74012,1.213394,13.89691,-0.002140997
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_258.jpg,10.28374,1,0,0.9993413,100.3203,85.75246,1.202056,14.36568,-0.002704069
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_305.jpg,12.21264,1,0,1.021542,100.3797,85.77315,1.198458,15.29781,0.009665125
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_353.jpg,10.07788,1,0,1.063386,100.4211,85.78749,1.208373,15.84532,0.005747921
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_400.jpg,7.936106,1,0,1.097331,100.4855,85.80987,1.22134,16.49308,-0.002794502
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_445.jpg,5.822451,1,0,1.150886,100.53,85.82541,1.227259,16.82214,-0.002473523
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_493.jpg,3.784769,1,0,1.182671,100.5756,85.84103,1.227731,17.06449,-0.001811163
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_542.jpg,1.615366,1,0,1.212666,100.6466,85.86447,1.230747,17.29654,-0.0005173994
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_588.jpg,0,1,0,1.259647,100.6956,85.8802,1.23445,17.35544,0.000230092
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_633.jpg,0,1,0,1.29196,100.7459,85.89615,1.236436,17.38078,0.000633274
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_37_680.jpg,0,1,0,1.325116,100.8235,85.92076,1.23895,17.40427,0.000783467
